가수,노래 제목,벅스 링크,음악번호,가사,앨범사진,템포,배경,accumulated,love_ratio,excited_ratio,missing_ratio,앨범명,벅스 앨범 링크,장르,가사 감정,youtube search link,first video link
207,d4vd,Here With Me,https://music.bugs.co.kr/track/94509708?wl_ref=list_tr_08,94509708.0,"Watch the sun rise along the coast
As we're both getting old
I can't describe what I'm feeling
And all I know is we're going home
So please don't let me go
Don't let me go
And if it's right I don't care how long it takes
As long as I'm with you
I've got a smile on my face
Save your tears it'll be okay
All I know is you're here with me
Watch the sun rise as we're getting old oh oh
I can't describe oh oh
I wish I could live through every memory again
Just one more time
Before we float off in the wind
And all the time we spent
Waiting for the light to take us in
Have been the greatest moments of my life
I don't care how long it takes
As long as I'm with you
I've got a smile on my face
Save your tears it'll be okay
You're here with me
I can't describe",https://image.bugsm.co.kr/album/images/200/194367/19436763.jpg?version=20230615003522.0,느림,공연장,"{'love': 5.544196671806276, 'excited': 2.87183740362525, 'longing/missing': 1.4201825484633446, 'other': 14.921995658427477}",0.2239336430508311,0.1159953461452374,0.0573620797927066,Here With Me,https://music.bugs.co.kr/album/19436763?wl_ref=S_tr_01_04,팝,love,https://www.youtube.com/results?search_query=Here+With+Me+d4vd,https://www.youtube.com/watch?v=Ip6cw8gfHHI&pp=ygURSGVyZSBXaXRoIE1lIGQ0dmQ%3D
208,Mae Stephens,If We Ever Broke Up,https://music.bugs.co.kr/track/100259859?wl_ref=list_tr_08_chart,100259859.0,"If you keep wondering
If somebody understands
Darling I don't understand you
If you stay awake at night
Waiting for somebody right
Baby oh your karma is due
Like I would never hate you
But only if you want to
So much time like who knew?
(Like who knew?)
Music we got into
Songs we fell in love to
Boy this feels so wrong too
(Ah ah ah)
If we ever broke up I'd never be sad
Thinking about everything that we had
If we ever broke up
If we ever broke up I'd call your dad
And tell him
All the shittiest of things you've said
If we ever broke up
Boy don't get emotional
'Cause it's not personal
It's just the way just the way it goes
If we ever broke up I'd never be sad
Thinking about everything that we had
If we ever broke up
(Ha ah ha ah)
You're living in Wonderland
If you think I'll understand
All the shit you put me through
If girls in white dresses and big winter wedding
Is something you want to be true (Yeah)
Then pack up your drama this selfish dilemma
Is something this shit can't undo
Like I would never hate you
But only if you want to
So much time like who knew? Woah
If we ever broke up I'd never be sad
Thinking about everything that we had
If we ever broke up (Ha ah ha ah ah)
If we ever broke up I'd call your dad
And tell him
All the shittiest of things you've said
If we ever broke up
Boy don't get emotional
'Cause it's not personal
It's just the way just the way it goes
If we ever broke up I'd never be sad
Thinking about everything that we had
If we ever broke up",https://image.bugsm.co.kr/album/images/200/309873/30987351.jpg?version=20231122010059.0,보통,공연장,"{'love': 4.073258342687041, 'excited': 3.289071261882782, 'longing/missing': 2.551256075501442, 'other': 38.009167269803584}",0.0849963345583984,0.0686327696015921,0.0532368430121271,If We Ever Broke Up,https://music.bugs.co.kr/album/30987351?wl_ref=S_tr_01_04,팝,excited,https://www.youtube.com/results?search_query=If+We+Ever+Broke+Up+Mae+Stephens,https://www.youtube.com/watch?v=TbGT3d0pHgo&pp=ygUgSWYgV2UgRXZlciBCcm9rZSBVcCBNYWUgU3RlcGhlbnM%3D
209,Dua Lipa,Dance The Night,https://music.bugs.co.kr/track/105009259?wl_ref=list_tr_08_chart,105009259.0,"Baby you can find me under the lights
Diamonds under my eyes
Turn the rhythm up don't you wanna just
Come along for the ride?
Ooh my outfit so tight
You can see my heartbeat tonight
I can take the heat baby best believe
That's the moment I shine
'Cause every romance shakes and it bends
Don't give a damn
When the night's here I don't do tears
Baby no chance
I could dance I could dance I could dance
Watch me dance dance the night away
My heart could be burnin'
But you won't see it on my face
Watch me dance dance the night away (Uh huh)
I'll still keep the party runnin'
Not one hair out of place
Lately I been movin' close to the edge
Still be lookin' my best
I stay on the beat you can count on me
I ain't missin' no steps
'Cause every romance shakes and it bends
Don't give a damn
When the night's here I don't do tears
Baby no chance
I could dance I could dance I could dance
Watch me dance dance the night away
My heart could be burnin'
But you won't see it on my face
Watch me dance dance the night away (Uh huh)
I'll still keep the party runnin'
Not one hair out of place
When my heart breaks
(They never see it never see it)
When my world shakes (I feel alive I feel alive)
I don't play safe (Ooh)
Don't you know about me? (Uh huh)
I could dance I could dance I could dance
Even when the tears are flowin'
They're diamonds on my face
I'll still keep the party goin'
Not one hair out of place (Yes I can)
Even when the tears are flowin'
They're diamonds on my face
(Yes I can yes I can)
I'll still keep the party goin'
Not one hair out of place
Watch me dance dance the night away (Uh huh)
My heart could be burnin'
But you won't see it on my face
Watch me dance (Dance)
Dance the night away (Uh huh)
I still keep the party runnin'
Not one hair out of place
When my heart breaks
(They never see it never see it)
When my world shakes (I feel alive I feel alive)
I don't play safe
Don't you know about me? (Uh huh)
I could dance I could dance I could dance
Dance the night",https://image.bugsm.co.kr/album/images/200/323258/32325855.jpg?version=20231128003950.0,빠름,공연장,"{'love': 6.700847796164453, 'excited': 3.1457342617213726, 'longing/missing': 4.456329718232155, 'other': 46.49801307031885}",0.1102096360061725,0.0517382633515273,0.0732937817884741,Barbie The Album,https://music.bugs.co.kr/album/32325855?wl_ref=S_tr_01_04,"팝,OST",love,https://www.youtube.com/results?search_query=Dance+The+Night+Dua+Lipa,https://www.youtube.com/watch?v=OiC1rgCPmUQ&pp=ygUYRGFuY2UgVGhlIE5pZ2h0IER1YSBMaXBh
210,thuy,girls like me don't cry,https://music.bugs.co.kr/track/32663561?wl_ref=list_tr_08_chart,32663561.0,"tell me that u keep me safe
and never let this fade away
i'm hiding out so they don't see this part of me
girls like me don't cry
girls like me pretend we don't cry
girls like me don't cry
girls like me pretend we don't cry
tell me that u keep me safe
and never let this fade away
girls like me don't cry
girls like me pretend we don't cry
lost in the city both eyes wide
ran right through all my options
can't seem to keep my eyes both dry
got tissues in my pocket
i'm sensitive
prolly wanna duck when i throw a fit
been through some shit
wear my heart on my sleeve so it's hard to miss
tell me that u keep me safe
and never let this fade away
i'm hiding out so they don't see this part of me
girls like me don't cry
girls like me pretend we don't cry (crybaby)
girls like me don't cry
girls like me pretend we don't cry
tell me that u keep me safe
and never let this fade away
i'm hiding out so they don't see this part of me
girls like me don't cry
girls like me pretend we don't cry
they say girl don't cry
try to keep my head up high
smile like it's alright
but all i want to do is hide
gotta let it go
don't wanna keep this all inside
girls like me don't cry
girls like me pretend we don't cry (crybaby)
girls like me don't cry
girls like me pretend we don't cry
tell me that u keep me safe
and never let this fade away
girls like me don't cry
girls like me pretend we don't cry",https://image.bugsm.co.kr/album/images/200/204972/20497279.jpg?version=20230304140457.0,보통,공연장,"{'love': 21.02985353767872, 'excited': 5.888545264489949, 'longing/missing': 5.307161816395819, 'other': 43.145252137910575}",0.2790185320891615,0.0781276604183105,0.0704140186671913,girls like me don't cry,https://music.bugs.co.kr/album/20497279?wl_ref=S_tr_01_04,알앤비/소울,love,https://www.youtube.com/results?search_query=girls+like+me+don%27t+cry+thuy,https://www.youtube.com/watch?v=43wIsMMTUZo&pp=ygUcZ2lybHMgbGlrZSBtZSBkb24ndCBjcnkgdGh1eQ%3D%3D
211,Lizzo,Special,https://music.bugs.co.kr/track/90472467?wl_ref=list_tr_08_mab,90472467.0,"(Pa pa pa)
(Pa pa pa)
(Pa pa pa)
(Pa pa pa)
Special (Ooh)
(Ooh)
Woke up this morning to somebody in a video
Talkin' about something I posted in a video
If it wasn't me
Then would you even get offended? Or
Is it just because I'm black and heavy?
Y'all don't hear me though
I've been the same
Since I've been driving slow on Bissonnet
Call up anybody I know
And they would tell you that
Famous pretty new
But I've been used to people judging me
That's why I move the way I move
And why I'm so in love with me
I'm used to feeling alone oh
So I thought that I'd let you know
In case nobody told you today
You're special (Special)
In case nobody made you believe
You're special (Special)
Well I'll always love you the same
You're special
I'm so glad that you're still with us
Broken but damn
You're still perfect (Perfect Special)
(Pa pa pa)
(Pa pa pa)
(Pa pa pa)
(Pa pa pa)
Could you imagine a world
Where everybody's the same?
And you could cancel a girl
'Cause she just wanted to change?
How can you throw fuckin' stones
If you ain't been through her pain?
That's why we feel so alone
That's why we feel so much shame hm
I'm used to feeling alone oh
So I thought that I'd let you know (Hey)
In case nobody told you today
You're special (Special)
In case nobody made you believe
You're special (Special)
Well I'll always love you the same
You're special
I'm so glad that you're still with us
Broken but damn
You're still perfect (Perfect perfect)
(Ooh) I know that I'm not alone oh
(Ooh) so I thought that
I'd let you know (You know)
(Oh oh oh oh oh oh oh oh)
Oh yeah yeah yeah
(Oh oh oh oh oh oh oh oh) ah oh woo
In case nobody told you today
(Yeah yeah yeah yeah)
You're special (Yeah)
In case nobody made you believe (Oh oh)
You're special (Yeah)
Well I'll always love you the same
(Love you yeah)
You're special (Special)
I'm so glad that you're still with us
(I'm so glad so glad so glad)
Broken but damn you're still perfect
(I'm so glad so glad so glad)
Special
(You are you are you are so) special
Mm mm
Hey",https://image.bugsm.co.kr/album/images/200/182941/18294124.jpg?version=20220812010258.0,보통,공연장,"{'love': 6.605066305026412, 'excited': 1.3194946637377143, 'longing/missing': 0.27325163781642914, 'other': 54.201465237885714}",0.1058516465765824,0.0211459925389942,0.0043790833364694,Special,https://music.bugs.co.kr/album/18294124?wl_ref=S_tr_01_04,팝,love,https://www.youtube.com/results?search_query=Special+Lizzo,https://www.youtube.com/watch?v=0ujjiNBQnmI&pp=ygUNU3BlY2lhbCBMaXp6bw%3D%3D
212,Nick Lopez,Pink Champagne,https://music.bugs.co.kr/track/31340137?wl_ref=list_tr_08,31340137.0,"Hola chica
You got that fuego, 
fuego and you know I need ya
Now luego go right now I need to see ya
Go upstairs and we can drink some that sangr?a
Yeah
Babe, it's too true
Every guy up in this club is looking at you
I know I'm a little shy and ain't got tattoos
But I'ma try my luck and hola at you
Yeah
You got that big, big bubble butt
Better keep my mouth shut
I'll just watch you do your thing
Sippin' on that pink champagne, yeah
Girl, go to work
Dance in that oversized 
1980's Rolling Stones t-shirt
Big, big bubble butt
Better keep my mouth shut
I'll just watch you do your thing
Sippin' on that pink champagne, yeah
Girl, go to work (go to work)
Dance in that oversized 
1980's Rolling Stones t-shirt
Hey little mama
You're too hot just like the middle of a summer
And I really wanna see you under covers
Take you there better than any other lover
Yeah
If I don't see you
Walking out the door 
just know that I didn't mean to
Say hello before you left and that I think you
Should hit my line some time
And you're super fine
Yeah
You got that big, big bubble butt
Better keep my mouth shut
I'll just watch you do your thing
Sippin' on that pink champagne, yeah
Girl, go to work
Dance in that oversized 
1980's Rolling Stones t-shirt
Big, big bubble butt
Better keep my mouth shut
I'll just watch you do your thing
Sippin' on that pink champagne, yeah
Girl, go to work (go to work)
Dance in that oversized 
1980's Rolling Stones t-shirt
You got that big, big bubble butt
Better keep my mouth shut
I'll just watch you do your thing
Sippin' on that pink champagne, yeah
Girl, go to work
Dance in that oversized 
1980's Rolling Stones t-shirt
Big, big bubble butt
Better keep my mouth shut
I'll just watch you do your thing
Sippin' on that pink champagne, yeah
Girl, go to work (go to work)
Dance in that oversized 
1980's Rolling Stones t-shirt",https://image.bugsm.co.kr/album/images/200/202117/20211709.jpg?version=20231024201232.0,보통,공연장,"{'love': 19.068378415890038, 'excited': 8.012929640710354, 'longing/missing': 4.6437283754348755, 'other': 18.1247102948837}",0.3825170571146167,0.1607416319405963,0.0931545028879204,Pink Champagne,https://music.bugs.co.kr/album/20211709?wl_ref=S_tr_01_04,팝,love,https://www.youtube.com/results?search_query=Pink+Champagne+Nick+Lopez,https://www.youtube.com/watch?v=fOz7DyDfvps&pp=ygUZUGluayBDaGFtcGFnbmUgTmljayBMb3Bleg%3D%3D
213,Mina Okabe,Every Second,https://music.bugs.co.kr/track/82747242,82747242.0,"Every second every day
I spend hoping we never change love when you
Never wait or hesitate
To tell me what is on your mind really do
Enjoy your company I think you would agree
Just where you'd rather be is right here with me
Make my day in every way
Know I'll be ok when you are around
I just want to stop
Worrying 'bout what could come
I really like it here in your arms
Thinking this is where I belong
I had no doubt in my mind we would make it far
Now I fear a change want time to stop
Waiting for an argument
Inevitable but don't know how bad
The smallest things will get to you
Hoping we won't be a thing of the past
But where we are today is where I want to stay
Leave worries far away when you're here with me
I should just enjoy this time
In case we end up leaving all this behind
I just need to stop
Worrying 'bout what could come
I really like it here in your arms
Thinking this is where I belong
I had no doubt in my mind we would make it far
Now I fear a change want time to stop
Yeah I'm always with you
I wanna remember this moment in time
Though I'm always with you
I wanna remember if we leave this behind
I really like it here in your arms
Thinking this is where I belong
I had no doubt in my mind we would make it far
Now I fear a change want time to stop
I really like it here in your arms
Thinking this is where I belong
I had no doubt in my mind we would make it far
Now I fear a change want time to stop
(Yeah I'm always with you)
I wanna remember this moment in time
(Though I'm always with you)
I wanna remember if we leave this behind
(Yeah I'm always with you)
I wanna remember this moment in time
(Though I'm always with you)
I wanna remember if we leave this behind",https://image.bugsm.co.kr/album/images/200/161119/16111922.jpg?version=20220729005257.0,보통,공연장,"{'love': 3.241565744392574, 'excited': 1.1742164567112923, 'longing/missing': 5.687022412195802, 'other': 47.41416680626571}",0.0563584219472637,0.0204151301386474,0.0988755539771216,Better Days,https://music.bugs.co.kr/album/16111922?wl_ref=S_tr_01_04,팝,missing,https://www.youtube.com/results?search_query=Every+Second+Mina+Okabe,https://www.youtube.com/watch?v=5zjTR7BVVBY&pp=ygUXRXZlcnkgU2Vjb25kIE1pbmEgT2thYmU%3D
214,PREP,As It Was,https://music.bugs.co.kr/track/93040450?wl_ref=list_tr_08_chart,93040450.0,"Holdin' me back
Gravity's holdin' me back
I want you to hold out
The palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

In this world, it's just us
You know it's not
The same as it was
In this world, it's just us
You know it's not
The same as it was
As it was, as it was
You know it's not the same

Answer the phone
""You're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
Nobody's coming to help
Your daddy lives by himself
He just wants to know that
You're well, oh-oh-oh

In this world, it's just us
You know it's not
The same as it was
In this world, it's just us
You know it's not
The same as it was
As it was, as it was

Go home, get ahead
Light-speed internet
I don't wanna talk about
The way that it was
Leave America
Two kids follow her
I don't wanna talk about
Who's doin' it first

Go home, get ahead
Light-speed internet
I don't wanna talk about
The way that it was
Leave America
Two kids follow her

You know it's not the same as it was
As it was

You know it's not the same as it was",https://image.bugsm.co.kr/album/images/200/189862/18986285.jpg?version=20220916014704.0,느림,공연장,"{'love': 5.403853605501354, 'excited': 0.7692140769213438, 'longing/missing': 0.4257453251630068, 'other': 29.29203442763537}",0.150563555660108,0.0214320399736921,0.0118622254860777,As It Was,https://music.bugs.co.kr/album/18986285?wl_ref=S_tr_01_04,팝,love,https://www.youtube.com/results?search_query=As+It+Was+PREP,https://www.youtube.com/watch?v=fn4JAuCfHQA&pp=ygUOQXMgSXQgV2FzIFBSRVA%3D
215,Troye Sivan,One Of Your Girls,https://music.bugs.co.kr/track/107773209?wl_ref=list_tr_08_chart,107773209.0,"Everybody loves you baby
You should trademark your face
Linin' down the block to be around you
But baby I'm first in place
Face card no cash no credit
Yes God don't speak you said it
Look at you
Skip the application interview
Sweet like Marabou
Look look at you
Give me a call if you ever get lonely
I'll be like one of your girls or your homies
Say what you want and I'll keep it a secret
You get the key to my heart and I need it
Give me a call if you ever get desperate
I'll be like one of your girls
Everybody wants you baby (Everybody)
You should insure that waist
(With the highest policy you can get)
But nobody wants you bad as I do
Baby let me plead my case yeah
Face card no cash no credit
Yes God don't speak you said it
Lo lo look at you
Pop the culture iconography
Is standin' right in front of me
Look lo look at you
Give me a call if you ever get lonely
I'll be like one of your girls or your homies
Say what you want and I'll keep it a secret
You get the key to my heart and I need it
Give me a call if you ever get desperate
I'll be like one of your girls
Aah
Aah (Ah ah ah)
Give me a call if you ever get desperate
I'll be like one of your girls",https://image.bugsm.co.kr/album/images/200/331829/33182907.jpg?version=20231025013754.0,느림,공연장,"{'love': 1.2988390331156552, 'excited': 4.853098675608635, 'longing/missing': 1.5282441824674606, 'other': 32.16864853911102}",0.0325941569448914,0.1217877318657294,0.0383510423258324,Something To Give Each Other,https://music.bugs.co.kr/album/33182907?wl_ref=S_tr_01_04,팝,missing,https://www.youtube.com/results?search_query=One+Of+Your+Girls+Troye+Sivan,https://www.youtube.com/watch?v=ZhGl8McrOHo&pp=ygUdT25lIE9mIFlvdXIgR2lybHMgVHJveWUgU2l2YW4%3D
216,Johnny Stimson,Flower,https://music.bugs.co.kr/track/5607523,5607523.0,"you can open up to me
show me what’s inside
mother nature made us to intertwine

lavender elixir so
full of pheromones
gimme one taste and you’re gone

what if i can’t get you out of my thoughts
what if my seasons don’t change
what if you forget to forget me not
and we fade away

you’re my little flower
blooming in the night
only for an hour
the northern lights

my casablanca sweetheart
nectar so divine
baby you’re the best part
of my life

what can i do
what can i say
to convince you
to stay

all i see are tulips and
i’m a hummingbird
heavenly ambrosia in every curve

honey dripping over my imagination
the fragrance
keeps flowing straight down to my soul

what if i can’t get you out of my thoughts
what if my seasons don’t change
what if you love me then you love me not
and we fade away

you’re my little flower
blooming in the night
only for an hour
the northern lights

my casablanca sweetheart
nectar so divine
baby you’re the best part
of my life

what can i do
what can i say
to convince you
to stay

yeah
oh
yeah
oh
yeah
oh
yeah
oh",https://image.bugsm.co.kr/album/images/200/8697/869773.jpg?version=20220607160005.0,느림,공연장,"{'love': 10.282875599339604, 'excited': 6.3955997079610825, 'longing/missing': 3.4823311399668455, 'other': 26.43785680597648}",0.2206688965186947,0.1372485659771763,0.0747302797301684,Flower,https://music.bugs.co.kr/album/869773?wl_ref=S_tr_01_04,팝,love,https://www.youtube.com/results?search_query=Flower+Johnny+Stimson,https://www.youtube.com/watch?v=sgNkCrAhTGc&pp=ygUVRmxvd2VyIEpvaG5ueSBTdGltc29u
217,John K,days like this,https://music.bugs.co.kr/track/74833659?wl_ref=list_tr_08_mab,74833659.0,"Woke up on the on the right side
Your eyes hittin' different in the sun
I can't can't believe that you're mine
Wanna show you off to everyone
Same vibe but your smile is different
Drinks?are?hittin'?you and I?are mixin'
Oh I'm?gonna take my time yeah
I don't wanna stop don't wanna blink no
No I don't wanna miss a single thing
'Cause days like this make me wish
We had more days like this oh yeah
Days like this make me wish
We had more days like this woo yеah
Sun is shinin' on my shoulders (Ooh ooh)
Never want it to bе over
Gettin' caught up in the moment yeah
Got me slowin' down the motion
I need this vibe forever yeah
Hope this feeling never ends
With you yeah with you
No I don't wanna stop (Don't wanna stop)
Don't wanna blink no (Don't wanna blink)
No I don't wanna miss a single thing
'Cause days like this make me wish
We had more days like this oh yeah
Days like this make me wish
We had more days like this haha woo
Days like Saturday in Summer
Swimmin' underneath the covers
Girl you got me when you need me
And you know I'm never leavin'
Keep on lovin' on me baby
'Cause you know it drives me crazy
And I don't wanna miss a single thing
Nah-nah no
Days like this make me wish
We had more days like this oh ooh
Days like this make me wish
We had more days like this yeah
Come on
Days like this make me wish
We had more days like this
ooh-ooh ooh-ooh
Days like this make me wish
We had more days like this yeah
Ooh ooh-ooh ooh-ooh-ooh
Days like this (Oh woah oh)
Ooh ooh-ooh ooh-ooh-ooh
Days like this
I had more day day day-day day day-day",https://image.bugsm.co.kr/album/images/200/149170/14917009.jpg?version=20231011005251.0,보통,공연장,"{'love': 10.522921737283468, 'excited': 0.17516940832138062, 'longing/missing': 9.390565637499094, 'other': 15.325308689847589}",0.2971404528340849,0.0049463370165414,0.2651656066212471,love + everything else,https://music.bugs.co.kr/album/14917009?wl_ref=S_tr_01_04,알앤비/소울,love,https://www.youtube.com/results?search_query=days+like+this+John+K,https://www.youtube.com/watch?v=sPcZnHf_3MQ&pp=ygUVZGF5cyBsaWtlIHRoaXMgSm9obiBL
218,LANY,dna,https://music.bugs.co.kr/track/82819570,82819570.0,"My reputation says that I fall too fast
They try to twist it try to make it sound bad
But I don't care no I don't care
I've broke some hearts
And had my heart broken too
And that's the risk I took when I fell for you
But I don't care no I don't care
This is just the way I am
Sorry I call again when you don't pick up
And tell you you're beautiful
But probably too much
I tried but I can't treat ya like the rest of LA
Oh it's just not in my DNA
To love you only halfway
I wanna hold your hand in front of my friends
Say what I'm feelin' and not have to pretend
That I don't care no I don't care
I wanna brag about you
When you're not around
Hear your name next to mine
'Cause I like the way it sounds
I'm sorry I call again when you don't pick up
And tell you you're beautiful
But probably too much
I triеd but I can't treat ya like the rest of LA
Oh it's just not in my DNA
To love you only halfway
Love you only halfway
This is just the way I am
I'm sorry I call again when you don't pick up
And tell you you're beautiful
But probably too much
I tried but I can't treat ya like the rest of LA
Oh it's just not in my DNA
To love you only halfway
Love you only halfway",https://image.bugsm.co.kr/album/images/200/161358/16135875.jpg?version=20211105004905.0,보통,공연장,"{'love': 3.377107720822096, 'excited': 2.6823728950694203, 'longing/missing': 6.926038674078882, 'other': 71.97254233341664}",0.039750291570829,0.0315729060175617,0.0815230307958473,gg bb xx,https://music.bugs.co.kr/album/16135875?wl_ref=S_tr_01_04,팝,missing,https://www.youtube.com/results?search_query=dna+LANY,https://www.youtube.com/watch?v=EDOzUWDAeQA&pp=ygUIZG5hIExBTlk%3D
219,Lauv & LANY,Mean It,https://music.bugs.co.kr/track/5800262?wl_ref=list_tr_08_mab,5800262.0,"Small talk no conversation
That look makes me impatient
I can’t tell what you’re thinking
Please tell me what you’re thinking
Last night we were more than fine
Just tell me if you changed your mind
If you changed your mind

Cause I’m all I’m all in
Calling no answer
Would you text me when you feel like
When it feels right to you
But I’m all I’m all in
I’m falling faster
If you’re looking at me with a heart of doubt

Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up just to let me down
Just to let me down down down (hey)
Don’t mess with my head
Don’t tell me you’re falling with your feet 
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me no don’t kiss me right now
On your lips just leave it
If you don’t mean it

Ooh yeah
You know you’ve got me 
In the palm of your hand
But I love those hands
Oooh yeah
But you only let me hold you when he can’t
Yeah I don’t understand
Cause I’m all I’m all in
I’m calling no answer
Would you text me when you feel like
When it feels right to you
But I’m all I’m all in
I’m falling faster
If you’re looking at me with a heart of doubt

Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up just to let me down
Just to let me down down down (hey)
Don’t mess with my head
Don’t tell me you’re falling with your feet 
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me no don’t kiss me right now
On your lips just leave it
If you don’t mean it

Hurry home let’s never leave the house 
(But you don’t mean it)
Let’s stay in bed while all our friends go out 
(But you don’t mean it)
Why you let those words 
Come out of your mouth 
(If you don’t mean it)
You’ve been staring at me 
With a heart of doubt

Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up just to let me down
Just to let me down down down (hey)
Don’t mess with my head
Don’t tell me you’re falling with your feet 
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me no don’t kiss me right now
On your lips just leave it
If you don’t mean it",https://image.bugsm.co.kr/album/images/200/9540/954012.jpg?version=20230211004032.0,느림,공연장,"{'love': 6.386415347922593, 'excited': 3.0106624327600002, 'longing/missing': 2.7843716740608215, 'other': 43.83222399931401}",0.1140152922332571,0.053748705398323,0.0497087854154855,Mean It,https://music.bugs.co.kr/album/954012?wl_ref=S_tr_01_04,팝,love,https://www.youtube.com/results?search_query=Mean+It+Lauv+%26+LANY,https://www.youtube.com/watch?v=c_10qS7amjk&pp=ygUTTWVhbiBJdCBMYXV2ICYgTEFOWQ%3D%3D
220,Central Cee,Doja,https://music.bugs.co.kr/track/91308340?wl_ref=list_tr_08_chart,91308340.0,"How can I be homophobic 
My bitch is gay
Hit man in the top 
Try see a man topless
Even the stick is gay
Hugging my bruddas and say that I love them 
but I don't swing that way
The mandem celebrate Eid 
The trap still running on Christmas Day

Somebody tell doja cat
That I'm tryna indulge in that
In my grey tracksuit see the bulge in that
See the motion clap 
when you're throwing it back
These females planning on doing me wrong
So I'm grabbing the Dom out the Trojan pack
Post the location after were gone
Can't slip and let them know where we're at
I don't know about you but I value my life
Cus imagine I die
And I ain't made 100m yet
so much things I ain't done yet
Like fucking a flight attendant
I don't party but I heard cardi there so fuck it 
I might attend it
Gotta kick back sometimes and wonder
How life would've been 
if I never did take them risks 
and would've I prospered?
Floating and I won't go under
Been out of town for a month
Absence makes the love grow fonder
Uk rap or uk drill
Gotta mention my name 
if you talk bout the genre

(Alright)

How can I be homophobic 
My bitch is gay
Hit man in the top 
Try see a man topless
Even the stick is gay
Hugging my bruddas and say that I love them 
but I don't swing that way
The mandem celebrate Eid 
The trap still running on Christmas Day

How can I be homophobic 
My bitch is gay
Hit man in the top 
Try see a man topless
Even the stick is gay
Hugging my bruddas and say that I love them 
but I don't swing that way
The mandem celebrate Eid 
The trap still running on Christmas Day",https://image.bugsm.co.kr/album/images/200/185838/18583837.jpg?version=20220915031728.0,빠름,공연장,"{'love': 7.066918354481459, 'excited': 4.3194480603560805, 'longing/missing': 6.9395455196499825, 'other': 103.52358296141028}",0.0579971083221894,0.0354490436258796,0.0569517791237361,Doja,https://music.bugs.co.kr/album/18583837?wl_ref=S_tr_01_04,랩/힙합,excited,https://www.youtube.com/results?search_query=Doja+Central+Cee,https://www.youtube.com/watch?v=_VuJA-VQRcY&pp=ygUQRG9qYSBDZW50cmFsIENlZQ%3D%3D
